Date,Open,High,Low,Close,detail,dt_percent,Volume
2021:8:24,1786.07,1793.833,1777.43,1787.326,1.256,7.000000000000001,56962.0
2021:8:23,1787.2,1795.6,1780.67,1786.07,-1.13,-6.0,53037.0
2021:8:20,1779.9,1789.3,1770.876,1787.2,7.3,41.0,44107.0
2021:8:19,1752.61,1780.095,1751.745,1779.9,27.29,156.0,36758.0
2021:8:18,1751.55,1758.2,1741.655,1752.61,1.06,6.0,46953.0
2021:8:17,1729.125,1754.534,1724.2,1751.55,22.425,130.0,59355.0
2021:8:16,1729.675,1738.33,1717.785,1729.125,-0.55,-3.0,50907.0
2021:8:13,1763.085,1764.675,1677.686,1729.675,-33.41,-189.0,114997.0
2021:8:12,1804.156,1804.965,1758.8,1763.085,-41.071,-227.99999999999997,60017.0
2021:8:11,1811.86,1814.925,1797.9,1804.156,-7.704,-43.0,37061.0
2021:8:10,1810.45,1831.77,1806.456,1811.86,1.41,8.0,45641.0
2021:8:9,1813.494,1815.065,1807.175,1810.45,-3.044,-17.0,29274.0
2021:8:6,1814.18,1819.56,1805.875,1813.494,-0.686,-4.0,39741.0
2021:8:5,1827.975,1831.41,1810.325,1814.18,-13.795,-75.0,34039.0
2021:8:4,1806.895,1832.73,1806.895,1827.975,21.08,117.0,41190.0
2021:8:3,1798.995,1809.86,1792.795,1806.895,7.9,44.0,49317.0
2021:8:2,1797.575,1805.29,1793.695,1798.995,1.42,8.0,38613.0
2021:7:30,1801.975,1811.605,1796.445,1797.575,-4.4,-24.0,37417.0
2021:7:29,1806.66,1810.37,1789.69,1801.975,-4.685,-26.0,35913.0
2021:7:28,1803.505,1808.116,1792.835,1806.66,3.155,17.0,39534.0
2021:7:27,1810.345,1813.795,1794.666,1803.505,-6.84,-38.0,41983.0
2021:7:26,1812.845,1825.006,1805.13,1810.345,-2.5,-14.000000000000002,45189.0
2021:7:23,1812.255,1817.42,1795.12,1812.845,0.59,3.0,49952.0
2021:7:22,1829.53,1832.066,1809.03,1812.255,-17.275,-94.0,45372.0
2021:7:21,1827.385,1834.195,1820.375,1829.53,2.145,12.0,36617.0
2021:7:20,1807.686,1829.88,1804.586,1827.385,19.699,109.00000000000001,43258.0
2021:7:19,1806.145,1817.26,1798.67,1807.686,1.541,9.0,48685.0
